puerto_codigo;puerto_nombre
111;MONTREAL
112;COSTA DEL PACIFICO
113;HALIFAX
114;VANCOUVER
115;SAINT JOHN
116;TORONTO
117;OTROS PUERTOS CANADA
118;BAYSIDE
120;PORT CARTIES
121;COSTA DEL ATLANTICO
122;PUERTOS DEL GOLFO ME
123;COSTA DEL PACIFICO
124;QUEBEC
125;PRINCE RUPERT
126;HAMILTON
131;BOSTON
132;NEW HAVEN
133;BRIDGEPORT
134;NEW YORK
135;FILADELFIA
136;BALTIMORE
137;NORFOLK
139;CHARLESTON
140;SAVANAH
141;MIAMI
142;EVERGLADES
143;JACKSONVILLE
145;PALM BEACH
146;BATON ROUGE
147;COLUMBRES
148;PITTSBURGH
149;DULUTH
150;MILWAUKEE
151;TAMPA
152;PENSACOLA
153;MOBILE
154;NEW ORLEANS
155;PORT ARTHUR
156;GALVESTON
157;CORPUS CRISTI
158;BROWNSVILLE
159;HOUSTON
160;OAKLAND
161;STOCKTON
171;SEATTLE
172;PORTLAND
173;SAN FRANCISCO
174;LOS ANGELES
175;LONG BEACH
176;SAN DIEGO
180;OTROS PUERTOS EE.UU.
199;LOS VILOS
204;PATACHE
205;CALBUCO
206;MICHILLA
207;PUERTO ANGAMOS
208;POSEIDON
209;TRES PUENTES
210;OTROS PUERTOS MEXICO
211;TAMPICO
212;COSTA DEL PACIFICO
213;VERACRUZ
214;COATZACOALCOS
215;GUAYMAS
216;MAZATLAN
217;MANZANILLO
218;ACAPULCO
219;GOLFO DE MEXICO,OTRO
220;ALTAMIRA
221;CRISTOBAL
222;BALBOA
223;COLON
224;OTROS PTOS. PANAMA
225;PASO GUANACO SONSO
231;OTROS PTOS. COLOMBIA
232;BUENAVENTURA
233;BARRANQUILLA
241;OTROS PTOS. ECUADOR
242;GUAYAQUIL
251;OTROS PTOS. DE PERU
252;CALLAO
253;ILO
254;IQUITOS
261;OTROS PTOS.ARGENTINA
262;BUENOS AIRES
263;NECOCHEA
264;MENDOZA
265;CORDOBA
266;BAHIA BLANCA
267;COMODORO RIVADAVIA
268;PUERTO MADRYN
269;MAR DEL PLATA
270;ROSARIO
271;OTROS PTOS.URUGUAY
272;MONTEVIDEO
281;OTROS PTOS.VENEZUELA
282;LA GUAIRA
285;MARACAIBO
291;OTROS PTOS.BRASIL
292;SANTOS
293;RIO DE JANEIRO
294;RIO GRANDE DEL SUR
295;PARANAGUA
296;SAO PAULO
297;SALVADOR
301;OTROS ANT.HOLANDESA
302;CURAZAO
399;OTROS PTOS.AMERICA
411;SHANGAI
412;DAIREN
413;OTROS PTOS.DE CHINA
420;OTROS PUERT COREA N
421;NAMPO
422;BUSAN
423;OTROS PTOS. COREA S
431;MANILA
432;OTROS PTOS.FILIPINAS
441;OTROS PTOS.JAPONESES
442;OSAKA
443;KOBE
444;YOKOHAMA
445;NAGOYA
446;SHIMIZUI
447;MOJI
448;YAWATA
449;FUKUYAMA
451;KAOHSIUNG
452;KEELUNG
453;OTROS PTOS.TAIWAN
461;KARHG ISLAND
462;OTROS PTO.IRAN NO ES
471;CALCUTA
472;OTROS PTOS. DE INDIA
481;CHALNA
482;OTROS PTO.BANGLADESH
491;OTROS PTO.SINGAPURE
492;HONG KONG
499;OTROS PTO.ASIATICOS
511;CONSTANZA
512;OTROS PTO.DE RUMANIA
521;VARNA
522;OTROS PTOS BULGARIA
533;BELGRADO
534;OTROS PUERTOS DE SER
535;PODGORITSA
536;OTROS PUERTOS DE MON
537;OTROS PUERTOS DE CRO
538;RIJEKA
541;OTROS PTOS.DE ITALIA
542;GENOVA
543;LIORNA,LIVORNO
544;NAPOLES
545;SALERNO
546;AUGUSTA
547;SAVONA
551;OTROS PTOS.FRANCIA
552;LA PALLICE
553;LE HAVRE
554;MARSELLA
555;BURDEOS
556;CALAIS
557;BREST
558;RUAN
561;OTROS PTOS.ESPANA
