pais_codigo;pais_nombre
101;SENEGAL
102;GAMBIA
103;GUINEA-BISSAU
104;GUINEA
105;SIERRA LEONA
106;LIBERIA
107;COSTA DE MARFIL
108;GHANA
109;TOGO
111;NIGERIA
112;SUDAFRICA
113;BOTSWANA
114;LESOTHO
115;MALAWI
116;ZIMBABWE
117;ZAMBIA
118;COMORAS
119;MAURICIO
120;MADAGASCAR
121;MOZAMBIQUE
122;SWAZILANDIA
123;SUDAN
124;EGIPTO
125;LIBIA
126;TUNEZ
127;ARGELIA
128;MARRUECOS
129;CABO VERDE
130;CHAD
131;NIGER
133;MALI
134;MAURITANIA
135;TANZANIA
136;UGANDA
137;KENIA
138;SOMALIA
139;ETIOPIA
140;ANGOLA
141;BURUNDI
142;RWANDA
143;REP.DEM. CONGO
144;CONGO
145;GABON
146;S.TOM.PRINCIPE
147;GUINEA ECUATRL
148;REP.CENT.AFRIC.
149;CAMERUN
150;BENIN
151;TERR.BRIT.EN AF
152;TER.ESPAN.EN AF
153;TERR.FRAN.EN AF
155;DJIBOUTI
156;SEYCHELLES
159;NAMIBIA
160;SUDAN DEL SUR
161;BURKINA FASO
163;ERITREA
164;ISLAS MARSHALL
165;SAHARAUI
201;VENEZUELA
202;COLOMBIA
203;TRINID.Y TOBAGO
204;BARBADOS
205;JAMAICA
206;REP.DOMINICANA
207;BAHAMAS
208;HAITI
209;CUBA
210;PANAMA
211;COSTA RICA
212;NICARAGUA
213;EL SALVADOR
214;HONDURAS
215;GUATEMALA
216;MEXICO
217;GUYANA
218;ECUADOR
219;PERU
220;BRASIL
221;BOLIVIA
222;PARAGUAY
223;URUGUAY
224;ARGENTINA
225;U.S.A.
226;CANADA
227;TERR.BRIT.EN AM
228;TERR.FRAN.EN AM
229;TER.HOLAN.EN AM
230;TERR.D/DINAMARC
231;DOMINICA
232;GRANADA
233;SANTA LUCIA(ISL
234;S.VTE.Y GRANAD.
235;SURINAM
236;BELICE
240;ANTIGUA Y BBUDA
241;SNT.KIT & NEVIS
242;ANGUILA
243;ARUBA
244;BERMUDAS
245;ISLAS VIRG.BRIT
246;ISLAS CAYMAN
247;ANTILLAS NEERLA
248;TURCAS Y CAICOS
249;ISLAS VIRG.EUA
250;MARTINICA
251;PUERTO RICO
252;MONSERRAT
253;GROENLADIA
301;JORDANIA
302;ARABIA SAUDITA
303;KUWAIT
304;OMAN
305;CHIPRE
306;ISRAEL
307;IRAK
308;AFGHANISTAN
309;IRAN
310;SIRIA
311;LIBANO
312;QATAR
313;BAHREIN
314;SRI LANKA
315;CAMBODIA
316;LAOS
317;INDIA
318;BUTAN
319;THAILANDIA
320;NEPAL
321;BANGLADESH
322;PALESTINA
324;PAKISTAN
325;VIETNAM
326;MYANMAR (EX BIR
327;ISLAS MALDIVAS
328;INDONESIA
329;MALASIA
330;TAIWAN (FORMOSA
331;JAPON
332;SINGAPUR
333;COREA DEL SUR
334;RPD COREA DEL N
335;FILIPINAS
336;CHINA
337;MONGOLIA
341;EMIR.ARAB.UNID.
342;HONG KONG
343;TER.PORTUG.E/AS
344;BRUNEI
345;MACAO
346;REPUBLICA DE YE
401;FIJI
402;NAURU
403;ISLAS TONGA
404;SAMOA OCC.
405;NUEVA ZELANDIA
406;AUSTRALIA
407;TERR.BRIT.EN OP
408;TERR.FRAN.EN OP
409;T.NORTEAM.EN OP
412;PPUA.NVA.GUINEA
415;VANUATU
416;KIRIBATI
417;MICRONESIA
418;ISLAS SALOMON
419;TUVALU
420;BELAU
421;NIUE
422;POLINESIA FRAN.
423;NUEVA CALEDONIA
424;ISLAS MARIANAS
425;GUAM
426;TIMOR ORIENTAL
427;ISLAS COOK
501;PORTUGAL
504;ITALIA
505;FRANCIA
506;IRLANDA
507;DINAMARCA
508;SUIZA
509;AUSTRIA
510;REINO UNIDO
511;SUECIA
512;FINLANDIA
513;NORUEGA
514;BELGICA
515;HOLANDA
516;ISLANDIA
517;ESPANA
518;ALBANIA
519;RUMANIA
520;GRECIA
522;TURQUIA
523;MALTA
524;SANTA SEDE
525;ANDORRA
527;BULGARIA
528;POLONIA
530;HUNGRIA
532;LUXEMBURGO
534;LIECHTENSTEIN
535;MONACO
536;SAN MARINO
540;ARMENIA
541;AZERBAIJAN
542;BELARUS
543;BOSNIA HEZGVINA
544;REPUBLICA CHECA
545;REP.ESLOVACA
546;REPUBLICA DE SE
547;CROACIA
548;ESLOVENIA
549;ESTONIA
550;GEORGIA (B)
551;KASAJSTAN
552;KIRGISTAN
553;LETONIA
554;LITUANIA
555;MACEDONIA
556;MOLDOVA
557;TADJIKISTAN
558;TURKMENISTAN
559;UCRANIA
560;UZBEKISTAN
561;MONTENEGRO
562;RUSIA
563;ALEMANIA
565;GIBRALTAR
566;GUERNSEY
567;ISLAS DE MAN
568;JERSEY
888;LOS DEMAS
901;COMB.Y LUBRIC.
902;RANCHO DE NAVES
903;PESCA EXTRA
904;ORIG.O DEST. NO
905;ZF.IQUIQUE
906;DEPOSITO FRANCO
907;ZF.PARENAS
910;ZF.ARICA-ZF IND
997;CHILE
998;NAC.REPUTADA
999;OTROS
